DATE,GE,TSS,F,TSLA,YEAR
1/3/2007,37.970001,25.99,7.51,NA,2007
1/4/2007,37.75,26.389999,7.7,NA,2007
1/5/2007,37.560001,25.959999,7.62,NA,2007
1/8/2007,37.549999,26.200001,7.73,NA,2007
1/9/2007,37.549999,26.17,7.79,NA,2007
1/10/2007,37.560001,26.450001,7.73,NA,2007
1/11/2007,37.919998,26.549999,7.77,NA,2007
1/12/2007,37.889999,27.1,7.89,NA,2007
1/16/2007,38.110001,27.110001,7.94,NA,2007
1/17/2007,37.98,29.889999,8.04,NA,2007
1/18/2007,38,29.6,8.18,NA,2007
1/19/2007,36.950001,29.27,8.3,NA,2007
1/22/2007,36.75,29.49,8.41,NA,2007
1/23/2007,36.549999,29.83,8.3,NA,2007
1/24/2007,36.639999,30.15,8.2,NA,2007
1/25/2007,36.34,29.92,8.22,NA,2007
1/26/2007,36.07,29.809999,8.42,NA,2007
1/29/2007,36.189999,30.059999,8.37,NA,2007
1/30/2007,36.029999,30.68,8.2,NA,2007
1/31/2007,36.049999,30.9,8.13,NA,2007
2/1/2007,36.23,31.27,8.29,NA,2007
2/2/2007,36.27,31.49,8.23,NA,2007
2/5/2007,36.369999,31.459999,8.33,NA,2007
2/6/2007,36.310001,31.549999,8.54,NA,2007
2/7/2007,36.099998,31.77,8.56,NA,2007
2/8/2007,35.740002,31.48,8.55,NA,2007
2/9/2007,35.529999,31.32,8.73,NA,2007
2/12/2007,35.639999,31.49,8.65,NA,2007
2/13/2007,35.77,31.120001,8.45,NA,2007
2/14/2007,36.470001,31.459999,8.51,NA,2007
2/15/2007,36.139999,31.83,8.6,NA,2007
2/16/2007,35.869999,32,8.53,NA,2007
2/20/2007,36.110001,32.419998,8.65,NA,2007
2/21/2007,35.91,32.509998,8.47,NA,2007
2/22/2007,35.400002,32.450001,8.35,NA,2007
2/23/2007,35.099998,32.07,8.3,NA,2007
2/26/2007,35.34,32.650002,8.26,NA,2007
2/27/2007,34.66,31.68,7.78,NA,2007
2/28/2007,34.91,31.18,7.91,NA,2007
3/1/2007,35,31.379999,7.77,NA,2007
3/2/2007,34.869999,30.809999,7.59,NA,2007
3/5/2007,34.549999,30.120001,7.58,NA,2007
3/6/2007,34.720001,30.5,7.64,NA,2007
3/7/2007,34.330002,30.469999,7.62,NA,2007
3/8/2007,34.450001,30.91,7.93,NA,2007
3/9/2007,34.32,30.969999,7.93,NA,2007
3/12/2007,34.439999,31.290001,7.82,NA,2007
3/13/2007,34.09,30.57,7.64,NA,2007
3/14/2007,34.310001,30.59,7.51,NA,2007
3/15/2007,34.52,31.030001,7.59,NA,2007
3/16/2007,34.360001,30.73,7.55,NA,2007
3/19/2007,34.669998,31.389999,7.82,NA,2007
3/20/2007,34.77,31.440001,7.88,NA,2007
3/21/2007,35.48,32.27,8.01,NA,2007
3/22/2007,35.810001,32.389999,8.08,NA,2007
3/23/2007,35.82,32.32,7.89,NA,2007
3/26/2007,36,32.330002,7.87,NA,2007
3/27/2007,35.790001,32.169998,7.85,NA,2007
3/28/2007,35.549999,31.74,7.98,NA,2007
3/29/2007,35.549999,31.65,7.95,NA,2007
3/30/2007,35.360001,31.85,7.89,NA,2007
4/2/2007,35.290001,32.040001,8.09,NA,2007
4/3/2007,35.32,32.290001,8.08,NA,2007
4/4/2007,35.110001,32.560001,8.04,NA,2007
4/5/2007,35.02,32.57,8.01,NA,2007
4/9/2007,34.779999,32.439999,8.08,NA,2007
4/10/2007,34.880001,32.369999,8.19,NA,2007
4/11/2007,34.950001,32.09,8.13,NA,2007
4/12/2007,35.18,32.209999,8.09,NA,2007
4/13/2007,35.380001,32.34,8.02,NA,2007
4/16/2007,35.360001,32.549999,8.03,NA,2007
4/17/2007,35.200001,32.330002,7.85,NA,2007
4/18/2007,35.130001,32.380001,7.82,NA,2007
4/19/2007,35,32.200001,7.74,NA,2007
4/20/2007,35.130001,32.84,7.75,NA,2007
4/23/2007,34.799999,32.169998,7.83,NA,2007
4/24/2007,34.759998,31.77,7.82,NA,2007
4/25/2007,35.41,31.950001,7.88,NA,2007
4/26/2007,35.84,31.74,8.2,NA,2007
4/27/2007,36.84,31.75,8.05,NA,2007
4/30/2007,36.860001,31.059999,8.04,NA,2007
5/1/2007,37.099998,31.08,8.05,NA,2007
5/2/2007,37.310001,31.15,8.17,NA,2007
5/3/2007,37.34,31.49,8.19,NA,2007
5/4/2007,37.150002,31.309999,8.22,NA,2007
5/7/2007,37.240002,31.629999,8.16,NA,2007
5/8/2007,37.080002,31.459999,8.37,NA,2007
5/9/2007,37.259998,32.040001,8.35,NA,2007
5/10/2007,36.779999,31.129999,8.24,NA,2007
5/11/2007,36.970001,31.66,8.37,NA,2007
5/14/2007,36.599998,31.309999,8.71,NA,2007
5/15/2007,36.639999,31.02,8.91,NA,2007
5/16/2007,36.830002,31.110001,8.76,NA,2007
5/17/2007,36.529999,32.400002,8.76,NA,2007
5/18/2007,36.959999,32.259998,8.69,NA,2007
5/21/2007,37.099998,32.439999,8.78,NA,2007
5/22/2007,37.34,34.060001,8.68,NA,2007
5/23/2007,37.599998,34.330002,8.76,NA,2007
5/24/2007,37.380001,33.27,8.49,NA,2007
5/25/2007,37.560001,33.259998,8.45,NA,2007
5/29/2007,37.400002,32.599998,8.4,NA,2007
5/30/2007,37.73,32.669998,8.5,NA,2007
5/31/2007,37.580002,33.189999,8.34,NA,2007
6/1/2007,37.450001,33.200001,8.35,NA,2007
6/4/2007,37.810001,32.91,8.27,NA,2007
6/5/2007,37.400002,31.889999,8.31,NA,2007
6/6/2007,37.290001,31.629999,8.26,NA,2007
6/7/2007,36.759998,30.73,8.06,NA,2007
6/8/2007,37.32,30.969999,8.24,NA,2007
6/11/2007,37.459999,31.09,8.4,NA,2007
6/12/2007,37.049999,30.389999,8.32,NA,2007
6/13/2007,37.639999,30.629999,8.56,NA,2007
6/14/2007,37.799999,30.52,8.66,NA,2007
6/15/2007,38.119999,30.469999,8.92,NA,2007
6/18/2007,38.07,30.719999,8.85,NA,2007
